indice,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,franja
126,39726,43633,43983,45729,50087,59846,56180,60097,58003,56521,57463,58230,52935,52375,53282,56150,60414,70348,75403,60306,67518,75506,85377,25100
127,41119,45309,45427,46903,54791,62927,56975,60160,58196,58325,57592,56690,51212,52138,52665,54424,57039,64800,75148,59408,70706,73566,80210,25300
128,39671,42116,46229,43177,48803,56535,55121,57851,55452,55541,55767,57282,49201,49609,49969,54624,55124,60293,65696,59736,74867,71938,78637,25500
129,36399,39312,50662,42254,47612,55038,55630,56401,54319,54407,55003,55978,49485,49766,49992,51253,52919,57696,61806,67364,71764,70077,77260,25700
130,39372,39231,46853,42803,45228,52193,57373,56390,53859,55483,55028,56419,49429,48540,49766,51056,53651,57323,61214,68384,66631,69911,79998,25900
131,38930,38325,42973,43026,45411,51662,53761,56194,54737,55134,54342,57969,49469,49245,49305,50234,54555,56009,60217,60322,63396,68204,76549,26100
132,35745,38479,40906,42491,42862,51134,54191,54529,51338,52273,53223,55223,49237,48844,47832,49680,50613,53823,56594,54000,60275,66733,74128,26300
133,35474,37330,39450,47073,43124,49240,54674,54356,53020,52415,53255,57205,49238,49096,47745,49132,50796,55679,57099,53868,59183,65356,73314,26500
134,34461,38684,38378,48393,42970,51522,52351,53427,50867,50703,52867,54669,50312,49735,47042,48072,51136,52931,55177,52277,58048,70358,73004,26700
135,33288,35097,38991,46743,43650,48226,56467,52356,50874,50918,52003,51578,49561,48240,46700,47204,50575,50831,56151,51086,57049,73597,71257,26900
136,35980,38022,40286,44852,43863,48713,54929,55056,50957,51790,53031,52949,52069,50525,48375,48575,51379,52161,55518,51285,57909,72497,71277,27100
137,34941,35659,40399,41601,43805,46205,52883,51690,48991,49221,51346,50217,49387,49900,46990,46649,48938,49271,51536,49891,54518,65564,67712,27300
138,32825,33685,38931,38839,48594,44837,51739,53139,48208,49270,52514,49039,48161,48337,45838,46723,49069,50076,51501,49591,54449,62222,66904,27500
139,34734,35266,36797,38784,49581,45038,52427,52945,47621,48121,53058,50390,47700,48139,47276,47454,49426,49443,51613,48932,55168,61270,67294,27700
140,34519,33706,36975,38671,43945,44320,49256,50774,46988,50023,51150,48809,47241,47207,45884,47203,49405,48705,50745,47342,52786,59947,65393,27900
141,33189,34372,35932,39036,44263,44718,50414,55253,49898,53100,52331,50384,49217,47762,47446,47893,50302,49394,51150,47691,53046,60193,64778,28100
142,32211,32385,34789,39115,40839,44266,47026,51174,46893,50803,51653,47038,46521,47290,45646,45380,48494,47650,48798,45272,50428,57623,65844,28300
143,31118,38030,33685,38420,40378,43801,47233,52513,47175,51201,49702,46880,45380,45154,44635,45057,47561,47937,47982,44787,50331,56122,67290,28500
144,28401,32965,34033,36926,38375,45176,44115,51210,45836,46355,47288,45472,44064,45147,44854,43834,46393,47506,47294,44248,48421,53653,70281,28700
145,30218,36960,35303,36287,39678,49363,46522,49522,47707,49662,48219,45785,44895,45935,44478,45233,47663,48460,47676,45287,48993,53785,66697,28900
146,27212,31833,34397,35722,38274,45348,43998,50445,47392,46633,46797,46007,43337,45951,45296,44628,46377,46069,47634,44473,48745,52592,62815,29100
147,27814,30615,35847,33544,38225,42884,42862,48051,47298,46699,45657,44212,43103,42912,43648,44422,45759,46716,46521,44289,48137,51514,58966,29300
148,29184,29243,35705,33965,38832,41722,42928,45927,45877,45611,46500,43676,41703,42525,42888,44568,44996,45345,48787,42654,47623,50727,58128,29500
149,26021,30564,36683,33584,37139,39816,45326,45938,47170,44074,45656,44499,41490,40806,43431,44442,43428,45142,45459,44400,45963,49617,55308,29700
150,26239,27864,36519,33187,36041,38479,41297,44936,44393,44064,46794,42944,40816,40932,41575,42178,44029,45199,45087,42048,46607,48972,55794,29900
151,27219,31720,35185,36581,39045,42605,46865,50120,51462,49494,50543,47034,46470,47889,46832,48898,50497,52722,52516,50609,54651,57081,62828,30100
152,24054,28194,31932,34253,33869,37199,41553,44156,42694,44329,43374,40060,40477,40351,40730,41948,42570,45449,43893,42246,45476,48329,53184,30300
153,22751,27085,29573,34281,33670,37441,43933,41896,42609,44822,44869,40382,40579,40313,39700,40543,44649,45685,43757,40896,46658,47517,53117,30500
154,22733,27391,29315,35148,34656,36829,44427,42256,43005,43145,42291,39444,39834,39949,40529,39975,42221,45167,43551,41876,44584,46724,50925,30700
155,20714,27114,28443,34991,34143,38428,44733,41894,41290,41278,43121,40394,40962,41734,40447,39955,42629,45383,42687,40752,46830,47206,50913,30900
156,20197,24819,31911,35787,32537,36866,42023,42550,43134,42522,43209,39802,38925,39294,39488,40437,42581,45586,42777,41091,44380,46303,50652,31100
157,20017,24820,28644,32687,33308,36987,39899,41942,40633,40484,41993,40224,39461,38510,39017,40582,41354,46083,44220,39929,44817,46818,50858,31300
158,19695,23438,30338,32306,33701,37440,40263,41272,41445,40664,41224,39174,37661,37363,39252,39792,40815,45887,42673,39387,43082,46182,49865,31500
159,18750,21746,27192,29398,33391,35369,40553,42447,39483,40364,42078,37816,37138,37241,39893,41509,40780,43968,42743,37675,42154,44831,47572,31700
160,18865,22271,27427,30747,34060,34308,37833,40196,39513,39662,39625,37942,36769,37525,38098,38755,40955,44258,42096,39747,41628,45534,47863,31900
161,18341,20327,26523,29080,34432,34448,37096,41203,39741,41698,39255,38104,36844,38218,37340,39815,40820,44305,43750,40096,43634,47552,48377,32100
